dt,weather,visibility,pop,dt_txt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.sea_level,main.grnd_level,main.humidity,main.temp_kf,clouds.all,wind.speed,wind.deg,wind.gust,sys.pod,rain.3h
1729090800,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2024-10-16 15:00:00,24.38,24.75,23.0,24.38,1010,1010,1004,72,1.38,48,4.46,209,5.92,d,
1729101600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2024-10-16 18:00:00,23.43,23.81,22.61,23.43,1011,1011,1006,76,0.82,61,2.65,213,3.93,n,
1729112400,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,0.98,2024-10-16 21:00:00,21.86,22.22,21.86,21.86,1012,1012,1007,81,0.0,16,0.99,188,1.26,n,0.61
1729123200,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,0.98,2024-10-17 00:00:00,21.58,21.93,21.58,21.58,1012,1012,1006,82,0.0,10,0.78,274,1.23,n,0.39
1729134000,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0.0,2024-10-17 03:00:00,21.14,21.42,21.14,21.14,1011,1011,1006,81,0.0,0,1.26,29,0.95,n,
1729144800,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,0.47,2024-10-17 06:00:00,20.24,20.49,20.24,20.24,1011,1011,1005,83,0.0,0,1.61,14,1.2,n,0.62
1729155600,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",10000,1.0,2024-10-17 09:00:00,20.42,20.63,20.42,20.42,1011,1011,1005,81,0.0,0,1.44,297,1.16,d,5.23
1729166400,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",10000,1.0,2024-10-17 12:00:00,22.27,22.28,22.27,22.27,1009,1009,1003,66,0.0,37,2.93,291,3.55,d,3.43
1729177200,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,1.0,2024-10-17 15:00:00,18.59,18.12,18.59,18.59,1010,1010,1005,62,0.0,68,7.38,263,10.67,d,2.67
1729188000,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.8,2024-10-17 18:00:00,17.34,16.83,17.34,17.34,1012,1012,1006,65,0.0,37,7.71,269,8.84,n,
1729198800,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.0,2024-10-17 21:00:00,16.91,16.43,16.91,16.91,1013,1013,1008,68,0.0,42,5.4,316,7.14,n,
